,name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
1671,Heiwa Corp,Technology and Communications,$1.8B,"5,484",,Japan,"Heiwa Honsha Bldg., 1-16-1, Higashi Ueno, Taito-Ku, Tokyo, 110-0015",,,,,,www.heiwanet.co.jp,,,$1.1B
1672,Fraser & Neave Holdings Bhd,Consumer Packaged Goods,$2.0B,"2,454",,Malaysia,"F&N Point, No. 3 Jalan Metro Pudu 1, Off Jalan Yew, Fraser Business Park, Kuala Lumpur, 55100",,,,,,www.fn.com.my,,,$1.1B
1673,Equinox Gold Corp,Metals and Mining,$1.2B,683,,Canada,"Suite 1501, 700 West Pender St., Vancouver, British Columbia, V6C1G8",,,,,,www.equinoxgold.com,,,$1.1B
1674,J.K. Cement Ltd,Construction,$2.8B,"3,941",,India,"Kamla Tower, Kanpur, 208001",,,,,,www.jkcement.com,,,$1.1B
1675,Ellaktor SA,Construction,$774.1M,"5,340",,Greece,"25 Ermou Str., Ermou Str. 25, Kifissia, Athina, 14564",,,,,,ellaktor.com,,,$1.1B
1676,Taiwan High Speed Rail Corp,Transport and Logistics,$5.4B,"4,608",,Taiwan,"100, Hsin Yi Road Sec. 5, Taipei, 115",,,,,,www.thsrc.com.tw,,,$1.1B
1677,China Yurun Food Group Ltd,Consumer Packaged Goods,$88.6M,"1,100",,China,"No. 10 Yurun Road, Jianye District, Nanjing, Jiangsu, 210041",,,,,,www.yurun.com.hk,,,$1.1B
1678,P H Glatfelter Co,Paper and Packaging,$149.6M,"3,250",,United States of America,"4350 Congress Street, Suite 600, Charlotte, North Carolina, 28209",,,,,,www.glatfelter.com,,,$1.1B
1679,Laureate Education Inc,Business and Consumer Services,$1.7B,"14,000",,United States of America,"78 Sw 7th St, Suite 900, Miami, Florida, 33130",,,,,,www.laureate.net,,,$1.1B
1680,Prestige Consumer Healthcare Inc,Consumer Packaged Goods,$3.3B,535,,United States of America,"660 White Plains Road, Tarrytown, New York, 10591",,,,,,www.prestigebrands.com,,,$1.1B
1681,BJ's Restaurants Inc,Leisure and Arts,$730.5M,"21,000",,United States of America,"Suite 300, 7755 Center Avenue, Huntington Beach, California, 92647",,,,,,www.bjsrestaurants.com,,,$1.1B
1682,CECEP Solar Energy Co Ltd,Alternative Energy,$4.4B,"1,859",,China,"No. 1, Jiefang West Road, Yuzhong District, Beijing, 100082",,,,,,www.cecsec.cn,,,$1.1B
1683,Pennon Group Plc,Alternative Energy,$3.0B,"2,636",,United Kingdom,"Peninsula House, Rydon Lane, Exeter, EX27HR",,,,,,www.pennon-group.co.uk,,,$1.1B
1684,Vietnam International Commercial Joint Stock Bank,Financial Services,$2.1B,"11,340",,Vietnam,"Tang 1 (Tang Tret) Va Tang 2 Toa Nha Sai, So 111a Pasteur, Phuong Ben Nghe, Quan 1, Ho Chi Minh",,,,,,www.vib.com.vn,,,$1.1B
1685,NetDragon Websoft Holdings Ltd,Technology and Communications,$1.2B,"4,784",,China,"851 Building, No.58, Wenquan Branch Road, Fuzhou, Fujian, 350001",,,,,,www.netdragon.com,,,$1.1B
1686,Allied Group Ltd,Financial Services,$822.7M,"4,020",,Hong Kong,"22nd Floor, Allied Kajima Building, 138 Gloucester Road, Wanchai, Hong Kong",,,,,,www.alliedgroup.com.hk,,,$1.1B
1687,Zscaler Inc,Technology and Communications,$16.3B,"4,975",,United States of America,"120 Holger Way, San Jose, California, 95134",,,,,,www.zscaler.com,,,$1.1B
1688,Tennant Co,Industrial Goods and Machinery,$1.2B,"4,263",,United States of America,"104000 Clean Street, Eden Prairie, Minnesota, 55344",,,,,,www.tennantco.com,,,$1.1B
1689,Punjab & Sind Bank,Financial Services,$2.6B,"8,735",,India,"21- Rajendra Place, New Delhi, 110008",,,,,,punjabandsindbank.co.in,,,$1.1B
1690,Gulf Insurance Group KSCP,Financial Services,$945.4M,"3,831",,Kuwait,"Company Building, Ahmad Al Jaber Street,  Sharq Safat, P.O.Box 1040, Kuwait City, 13011",,,,,,www.gulfinsgroup.com,,,$1.1B
1691,Companhia de Saneamento de Minas Gerais,Environmental and Waste Management Services,$1.1B,"10,572",,Brazil,"Rua Mar De Espanha, 525, Bairro Santo Antonio, Belo Horizonte, 30.330-900",,,,,,www.copasa.com.br,,,$1.1B
1692,Eastern Co SAE,Consumer Packaged Goods,$1.3B,"16,643",,Egypt,"450 Al Ahram Street, Giza, 12211",,,,,,www.easternegypt.com,,,$1.1B
1693,BankUnited Inc,Financial Services,$2.6B,"1,465",,United States of America,"14817 Oak Ln, Miami Lakes, Florida, 33016-1517",,,,,,www.bankunited.com,,,$1.1B
1694,The Container Store Group Inc,Retailing,$250.6M,"2,300",,United States of America,"500 Freeport Pkwy, Coppell, Texas, 75019",,,,,,investor.containerstore.com/about/overview/default,,,$1.1B
1695,Byblos Bank SAL,Financial Services,$554.2M,"1,520",,Lebanon,"Byblos Bank Tower, Elias Sarkis Avenue, Achrafieh Area, P.O. Box 1353530, Beirut, 11072811",,,,,,www.byblosbank.com,,,$1.1B
1696,Nigerian Breweries Plc,Consumer Packaged Goods,$1.1B,"2,740",,Nigeria,"Iganmu House, 1 Abebe Village Road,  Iganmu, Po Box 545, Lagos",,,,,,www.nbplc.com,,,$1.1B
1697,Vir Biotechnology Inc,Pharmaceuticals and Healthcare,$3.5B,444,,United States of America,"499 Illinois St Ste 500, San Francisco, California, 94158-2521",,,,,,www.vir.bio,,,$1.1B
1698,World Wrestling Entertainment Inc,Media,$6.6B,870,,United States of America,"1241 E Main St, Stamford, Connecticut, 6902",,,,,,corporate.wwe.com,,,$1.1B
1699,PRA Group Inc,Financial Services,$1.4B,"3,361",,United States of America,"120 Corporate Blvd Ste 100, Norfolk, Virginia, 23502",,,,,,www.pragroup.com,,,$1.1B
1700,Golden Entertainment Inc,Leisure and Arts,$1.1B,"6,300",,United States of America,"6595 S Jones Blvd, Las Vegas, Nevada, 89118-3337",,,,,,www.goldenent.com,,,$1.1B
1701,Einhell Germany AG,Consumer Packaged Goods,$253.1M,"1,956",,Germany,"Wiesenweg 22, Landau An Der Isar, 94405",,,,,,www.einhell.com,,,$1.1B
1702,Ichor Holdings Ltd,Technology and Communications,$905.6M,"1,850",,United States of America,"3185 Laurelview Ct, Fremont, California, 94538-6535",,,,,,www.ichorsystems.com,,,$1.1B
1703,Astec Industries Inc,Industrial Goods and Machinery,$874.9M,"4,041",,United States of America,"1725 Shepherd Rd, Chattanooga, Tennessee, 37421-2947",,,,,,www.astecindustries.com,,,$1.1B
1704,LendingTree Inc,Financial Services,$383.2M,"1,407",,United States of America,"1415 Vantage Park Drive, Suite 700, Charlotte, North Carolina, 28203",,,,,,www.lendingtree.com,,,$1.1B
1705,Insulet Corp,Medical Equipment,$20.1B,"2,300",,United States of America,"100 Nagog Park, Acton, Massachusetts, 01720-3440",,,,,,www.omnipod.com,,,$1.1B
1706,Veson Holdings Ltd,Clean Technology,$39.7M,"3,155",,China,"Scud Industrial Park, No. 98 Jiangbin Dong Avenue, Fuzhou, Fujian, 350015",,,,,,www.scudgroup.com,,,$1.1B
1707,Celsia SA ESP,Power,$661.7M,"1,429",,Colombia,"Cr 43 A 1 A Sur 143 Piso 5, Medellin",,,,,,www.celsia.com/es,,,$1.1B
1708,Marston's PLC,Leisure and Arts,$324.8M,"11,089",,United Kingdom,"Marstons House, Brewery Road, Wolverhampton, WV14JT",,,,,,www.marstonspubs.co.uk,,,$1.1B
1709,Alior Bank SA,Financial Services,$1.2B,"7,678",,Poland,"Ul. Lopuszanska 38d, Warszawa, 02-232",,,,,,www.aliorbank.pl,,,$1.1B
1710,Joyful Honda Co Ltd,Retailing,$1.0B,"1,943",,Japan,"1-16-2, Fujisaki, Tsuchiura-Shi, Ibaraki , 300-0813",,,,,,www.joyfulhonda.com,,,$1.1B
1711,Hypera SA,Pharmaceuticals and Healthcare,$5.4B,"9,000",,Brazil,"R Nova Cidade 404, Vila Olimpia, Sao Paulo, 04.547-070",,,,,,www.hypera.com.br,,,$1.1B
1712,Uniti Group Inc,Construction,$1.4B,754,,United States of America,"2101 Riverfront Drive, Suite A, Little Rock, Arkansas, 72202",,,,,,uniti.com,,,$1.1B
1713,Vina Concha y Toro SA,Consumer Packaged Goods,$925.9M,"3,228",,Chile,"Av. Nueva Tajamar 481, Torre Norte, Providencia, Santiago, 7550099",,,,,,www.conchaytoro.com/es,,,$1.1B
1714,Aditya Birla Fashion and Retail Ltd,Retailing,$3.1B,"24,818",,India,"701-704, 7f,Skyline Icon Business Park, 86-92 Offandheri Kurla Rd, Marol Village, Andheri Eas, Mumbai, 400059",,,,,,www.abfrl.com,,,$1.1B
1715,TS Corp,Consumer Packaged Goods,$212.8M,572,,South Korea,"116, Wolmi-Ro, Jung-Gu, Incheon, 22300",,,,,,www.ts.co.kr,,,$1.1B
1716,U.S. Silica Holdings Inc,Metals and Mining,$885.8M,"1,863",,United States of America,"24275 Katy Freeway, Suite 600, Texas, 77494",,,,,,www.ussilica.com,,,$1.1B
1717,MLP SE,Financial Services,$653.7M,"2,258",,Germany,"Alte Heerstrasse 40, Wiesloch, 69168",,,,,,mlp-se.de,,,$1.1B
1718,Wuhan Department Store Group Co Ltd,Retailing,$1.2B,"9,373",,China,"No. 690, Jiefang Avenue, Jianghan District, Wuhan, Hubei, 430022",,,,,,www.wushang.com.cn,,,$1.1B
1719,Energinet.dk,Power,,"1,155",,Denmark,"Tonne Kjaersvej 65, Fredericia, 7000",,,,,,www.energinet.dk,,,$1.1B
1720,CBIZ Inc,Business and Consumer Services,$2.4B,"6,000",,United States of America,"Suite 500, 6050 Oak Tree Boulevard, South, Cleveland, Ohio, 44131",,,,,,www.cbiz.com,,,$1.1B
1721,Bio-Techne Corp,Medical Equipment,$12.6B,"3,000",,United States of America,"614 Mckinley Pl N E, Minneapolis, Minnesota, 55413",,,,,,www.bio-techne.com,,,$1.1B
1722,Commercial Bank of Dubai PSC,Financial Services,$3.7B,"1,110",,United Arab Emirates,"Al Itihad Road, Deira,  2668, P.O. Box, Dubai",,,,,,www.cbd.ae,,,$1.1B
1723,Duke Realty Corp,Construction,$18.6B,340,,United States of America,"8711 River Crossing Blvd, Indianapolis, 46240",,,,,,www.dukerealty.com,,,$1.1B
1724,JSW Energy Ltd,Power,$5.3B,"1,603",,India,"Jsw Centre, Bandra Kurla Complex, Bandra (East), Mumbai, 400051",,,,,,www.jsw.in/energy,,,$1.1B
1725,Grand Pharmaceutical Group Ltd,Pharmaceuticals and Healthcare,$2.2B,"9,649",,Hong Kong,"Units 3302, The Center, 99 Queen's Road Central, Hong Kong",,,,,,chinagrandpharm.com,,,$1.1B
1726,Toho Zinc Co Ltd,Metals and Mining,$226.4M,"1,051",,Japan,"Tekko Bldg., 1-8-2, Marunouchi, Chiyoda-Ku, Tokyo, 100-8207",,,,,,www.toho-zinc.co.jp,,,$1.1B
1727,Banco del Bajio SA,Financial Services,$4.3B,,,Mexico,"Avenida Manuel J. Clouthier No. 402, Colonia Jardines De Campestre, Leon, 37128",,,,,,www.bb.com.mx,,,$1.1B
1728,Armstrong World Industries Inc,Construction,$3.4B,"2,960",,United States of America,"2500 Columbia Ave, Lancaster, Pennsylvania, 17603",,,,,,www.armstrong.com,,,$1.1B
1729,Biocon Ltd,Pharmaceuticals and Healthcare,$3.6B,"3,203",,India,"20th Km, Hosur Road, Electronics City, Bangalore, 560100",,,,,,www.biocon.com,,,$1.1B
1730,IBL Ltd,Financial Services,$762.7M,"24,404",,Mauritius,"Ibl House Caudan Waterfront, Port Louis",,,,,,www.iblgroup.com,,,$1.1B
1731,North Pacific Bank Ltd,Financial Services,$831.6M,"2,976",,Japan,"3-7, Odori-Nishi, Chuo-Ku, Sapporo-Shi, Hokkaido, 060-0042",,,,,,www.hokuyobank.co.jp,,,$1.1B
1732,Rayonier Inc,Construction,$5.0B,406,,United States of America,"1 Rayonier Way, Jacksonville, Florida, 32097",,,,,,www.rayonier.com,,,$1.1B
1733,Taiwan Business Bank Co Ltd,Financial Services,$3.6B,"5,617",,Taiwan,"No. 30, Ta Cheng Street, Neighborhood 9, Yuchuan Li, Datong District, Taipei, 103",,,,,,www.tbb.com.tw,,,$1.1B
1734,WNS (Holdings) Ltd,Technology and Communications,$4.0B,"52,081",,India,"Gate 4, Godrej & Boyce Complex, Pirojshanagar, Vikroli(W), Mumbai, 400079",,,,,,www.wns.com/about-wns,,,$1.1B
1735,SATO Holdings Corp,Technology and Communications,$533.6M,"5,656",,Japan,"Tamachi Station Tower N, Msb Tamachi, 3-1-1, Shibaura, Minato-Ku, Tokyo, 108-0023",,,,,,www.sato.co.jp,,,$1.1B
1736,"Senao International Co., Ltd.",Technology and Communications,$268.9M,"3,752",,Taiwan,"2f, No.531, Chung Cheng Road, Hsin-Tien District, New Taipei, 231",,,,,,www.senao.com.tw,,,$1.1B
1737,Royal Bafokeng Platinum Ltd,Metals and Mining,$2.8B,"11,158",,South Africa,"The Pivot No 1 Monte Casino Boulavard, Block C 4th Floor Fourways, Johannesburg, 2021",,,,,,www.bafokengplatinum.co.za,,,$1.1B
1738,Century Pacific Food Inc,Consumer Packaged Goods,$1.6B,"18,753",,Philippines,"7th Floor,Centerpoint Building, Ortigas Business Center, Metro Manila, Julia Vargas Corner Garnet Street, Pasig, 1605",,,,,,centurypacific.com.ph,,,$1.1B
1739,Elopak AS,Paper and Packaging,$655.7M,"2,600",,Norway,"Karenslyst Alle 53, Oslo, 0279",,,,,,www.elopak.com,,,$1.1B
1740,Extreme Networks Inc,Technology and Communications,$2.5B,"2,643",,United States of America,"2121 Rdu Center Drive, Suite 300, Morrisville, North Carolina, 27560",,,,,,www.extremenetworks.com,,,$1.1B
1741,Thryv Holdings Inc,Media,$696.7M,"2,630",,United States of America,"2200 West Airfield Drive, P.O. Box 619810, Dallas Fort Worth Airport, Texas, 75261-9810",,,,,,www.thryv.com,,,$1.1B
1742,DXP Enterprises Inc,Industrial Goods and Machinery,$550.7M,"2,490",,United States of America,"5301 Hollister Street, Houston, Texas, 77040",,,,,,www.dxpe.com,,,$1.1B
1743,Vossloh AG,Construction,$803.7M,"3,792",,Germany,"Vosslohstrasse 4, Werdohl, 58791",,,,,,www.vossloh.com,,,$1.1B
1744,China Motor Corporation,Automotive,$1.0B,"4,779",,Taiwan,"11f, No.2, Section 2, Tun Hwa South Road Da'An District, Taipei, 106",,,,,,www.china-motor.com.tw,,,$1.1B
1745,Hangzhou Silan Microelectronics Co Ltd,Technology and Communications,$7.3B,"6,880",,China,"No.4 Huanggushan Road, Hangzhou, Zhejiang, 310012",,,,,,www.silan.com.cn,,,$1.1B
1746,888 Holdings Plc,Leisure and Arts,$526.5M,"1,764",,United Kingdom,"Suite 601/701, Europort Road, Europort, Gibraltar City",,,,,,corporate.888.com,,,$1.1B
1747,PT Tunas Baru Lampung Tbk,Chemicals,$241.4M,"2,838",,Indonesia,"Wisma Budi Lantai 8-9, Jl. H.R. Rasuna Said Kav. C-6, Jakarta, 12940",,,,,,www.tunasbarulampung.com,,,$1.1B
1748,Villeroy & Boch AG,Consumer Packaged Goods,$293.3M,"6,408",,Germany,"Saaruferstrasse, Mettlach, 66693",,,,,,www.villeroyboch-group.com,,,$1.1B
1749,"Ichikoh Industries, Ltd.",Automotive,$274.3M,"3,519",,Japan,"80, Itado, Isehara-Shi, Kanagawa, 259-1192",,,,,,www.ichikoh.com,,,$1.1B
1750,Radisson Hospitality AB,Leisure and Arts,,"4,431",,Belgium,"Avenue du Bourget 44, Brussels, Bruxelles-Capitale , B1130",,,,,,www.radissonhospitalityab.com/,,,$1.1B
1751,SpareBank 1 SR-Bank ASA,Financial Services,$3.0B,"1,510",,Norway,"Christen Tranes Gate 35, Stavanger, 4007",,,,,,www.sparebank1.no/nb/bank,,,$1.1B
1752,Hanger Inc,Medical Equipment,,"5,200",,United States of America,"Suite 300, 10910 Domain Drive, Austin, Texas, 78758",,,,,,corporate.hanger.com/about,,,$1.1B
1753,Quest Holdings SA,Technology and Communications,$615.6M,"2,383",,Greece,"2a, Argyroupoleos Str., Kallithea, Athina, 17676",,,,,,www.quest.gr,,,$1.1B
1754,Unilumin Group Co Ltd,Construction,$948.3M,"5,876",,China,"Building A, No. 112 Yongfu Road, Qiaotou Community, Fuyong Street, Baoan District, Shenzhen, Guangdong, 518103",,,,,,www.unilumin.cn,,,$1.1B
1755,Universal Insurance Holdings Inc,Financial Services,$371.0M,"1,047",,United States of America,"Suite 100, 1110 W. Commercial Blvd., Fort Lauderdale, Florida, 33309",,,,,,universalinsuranceholdings.com,,,$1.1B
1756,Renew Holdings Plc,Construction,$706.9M,"3,630",,United Kingdom,"3175 Century Way, Thorpe Park, Leeds, LS158ZB",,,,,,www.renewholdings.com,,,$1.1B
1757,ExlService Holdings Inc,Technology and Communications,$5.5B,"37,400",,United States of America,"320 Park Ave Fl 29, New York, 10022-6815",,,,,,www.exlservice.com,,,$1.1B
1758,Systemair AB,Construction,$1.6B,"6,830",,Sweden,"Industrivagen 3, Skinnskatteberg, 73930",,,,,,www.systemair.com,,,$1.1B
1759,Balkrishna Industries Ltd,Automotive,$5.3B,"3,229",,India,"Bkt House,C/15, Trade World,Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai, 400011",,,,,,www.bkt-tires.com,,,$1.1B
1760,Electricity Generating Public Co Ltd,Power,$2.8B,388,,Thailand,"Egco Tower,222 Moo 5, Vibhavadi Rangsit Road, Thungsonghong, Lak Si, Bangkok, 10210",,,,,,www.egco.com/en,,,$1.1B
1761,Wafa Assurance SA,Financial Services,$1.2B,491,,Morocco,"1, Bd Abdelmoumen, Casablanca, 20100",,,,,,www.wafaassurance.ma,,,$1.1B
1762,Godrej Agrovet Ltd,Agriculture and Forestry,$1.1B,"2,711",,India,"Plot No B-2, M.I.D.C, Miraj Industrial Area, Mumbai, 400079",,,,,,www.godrejagrovet.com,,,$1.1B
1763,UNO Minda Ltd,Automotive,$3.6B,"5,766",,India,"Nawada, Fatehpur, Sikanderpur Badda Imt Manesar, Gurgaon, 122004",,,,,,unominda.com,,,$1.1B
1764,Bank Millennium SA,Financial Services,$1.4B,"6,778",,Poland,"Ul. Stanislawa Zaryna 2a, Warszawa, 02-593",,,,,,www.bankmillennium.pl,,,$1.1B
1765,Premier Investments Ltd,Retailing,$3.0B,"11,000",,Australia,"Level 7, 417 St Kilda Road, Melbourne, Victoria, 3004",,,,,,www.premierinvestments.com.au,,,$1.1B
1766,Ferro Corp,Chemicals,$1.8B,"3,585",,United States of America,"6060 Parkland Blvd Ste 250, Mayfield Heights, Ohio, 44124-4225",,,,,,www.ferro.com,,,$1.1B
1767,PT Lippo Karawaci Tbk,Construction,$346.1M,"14,014",,Indonesia,"Lippo Karawaci Central, Tangerang, 15811",,,,,,www.lippokarawaci.co.id,,,$1.1B
1768,Taihei Dengyo Kaisha Ltd,Construction,$512.0M,"1,970",,Japan,"2-4, Kanda Jimbo-Cho, Chiyoda-Ku, Tokyo, 101-8416",,,,,,www.taihei-dengyo.co.jp,,,$1.1B
1769,DNA Oyj,Technology and Communications,,"1,604",,Finland,"Lakkisepantie 21, Helsinki, 00620",,,,,,www.dna.fi,,,$1.1B
1770,Associated Banc-Corp,Financial Services,$3.3B,"4,000",,United States of America,"433 Main St, Green Bay, Wisconsin, 54301",,,,,,www.associatedbank.com,,,$1.1B
1771,Strategic Education Inc,Business and Consumer Services,$2.1B,"3,742",,United States of America,"2303 Dulles Station Blvd, Herndon, Virginia, 20171-6353",,,,,,www.strategiceducation.com,,,$1.1B
1772,Omnicell Inc,Technology and Communications,$2.4B,"3,800",,United States of America,"590 East Middlefield Road, Mountain View, California, 94043",,,,,,www.omnicell.com,,,$1.1B
1773,The Bank of Kyoto Ltd,Financial Services,$3.6B,"3,602",,Japan,"700, Yakushimae-Cho, Karasuma-Dori, Matsubara-Agaru, Shimogyo-Ku, Kyoto-Shi, 600-8652",,,,,,www.kyotobank.co.jp,,,$1.1B
1774,Neurocrine Biosciences Inc,Pharmaceuticals and Healthcare,$10.4B,900,,United States of America,"12780 El Camino Real, San Diego, California, 92130-2042",,,,,,www.neurocrine.com,,,$1.1B
1775,Future Plc,Media,$2.3B,"2,527",,United Kingdom,"1-10 Praed Mews, Paddington, W21QY",,,,,,www.futureplc.com,,,$1.1B
1776,Daily Mail & General Trust plc,Media,,"5,899",,United Kingdom,"Northcliffe House, 2 Derry Street, London, Greater London, W85TT",,,,,,www.dmgt.com,,,$1.1B
1777,LEG Immobilien AG,Construction,$5.9B,"1,515",,Germany,"Hans-Boeckler-Strasse 38, Duesseldorf, 40476",,,,,,www.leg-wohnen.de,,,$1.1B
1778,Service Stream Ltd,Technology and Communications,$281.9M,"4,500",,Australia,"L 4 357 Collins St, Melbourne, Victoria, 3000",,,,,,www.servicestream.com.au,,,$1.1B
1779,StoneCo Ltd,Technology and Communications,$3.0B,"15,485",,United Kingdom,"4th Floor, Harbour Place, 103 South Church Street, P.O. Box 10240, Grand Cayman, KY1-1002",,,,,,www.stone.co,,,$1.1B
1780,Ping An Healthcare And Technology Co Ltd,Technology and Communications,$3.2B,"2,796",,China,"Ugland House, Grand Cayman, Ky1-1104, Po Box 309, Shanghai",,,,,,www.pagd.net,,,$1.1B
1781,Seoul Semiconductor Co Ltd,Technology and Communications,$497.1M,992,,South Korea,"97-11, Sandan-Ro 163beon-Gil, Danwon-Gu, Ansan, 15429",,,,,,www.seoulsemicon.com,,,$1.1B
1782,China Gold International Resources Corp. Ltd.,Metals and Mining,$1.4B,"2,169",,Canada,"505 Burrard Street, Suite 660, Box 27, Vancouver, British Columbia, V7X1M4",,,,,,www.chinagoldintl.com,,,$1.1B
1783,China Banking Corp,Financial Services,$1.4B,"9,747",,Philippines,"China Bank Building, 8745 Paseo De Roxas Cor. Villar St, Makati, 2182",,,,,,www.chinabank.ph,,,$1.1B
1784,National Beverage Corp,Consumer Packaged Goods,$4.0B,"1,580",,United States of America,"Suite 4000, 8100 South West 10th Street, Fort Lauderdale, Florida, 33324",,,,,,www.nationalbeverage.com,,,$1.1B
1785,NuVasive Inc,Medical Equipment,$2.3B,"2,900",,United States of America,"7475 Lusk Blvd, San Diego, California, 92121",,,,,,www.nuvasive.com,,,$1.1B
1786,Crawford & Co,Financial Services,$298.3M,"9,400",,United States of America,"5335 Triangle Parkway, Atlanta, Georgia, 30092",,,,,,www.crawco.com,,,$1.1B
1787,Atresmedia Corporacion de Medios de Comunicacion SA,Media,$819.0M,"2,401",,Spain,"Avda. Isla Graciosa, 13, San Sebastian De Los Reyes, Madrid, 28703",,,,,,www.atresmedia.com,,,$1.1B
1788,EnPro Industries Inc,Industrial Goods and Machinery,$2.4B,"4,400",,United States of America,"Suite 500, 5605 Carnegie Boulevard, Charlotte, North Carolina, 28209",,,,,,www.enproindustries.com/home/default.aspx,,,$1.1B
1789,Oxford Industries Inc,Retailing,$1.7B,"4,700",,United States of America,"Suite 688, 999 Peachtree Street Ne, Atlanta, Georgia, 30309",,,,,,www.oxfordinc.com,,,$1.1B
1790,Hostess Brands Inc,Consumer Packaged Goods,$3.0B,"2,600",,United States of America,"7905 Quivira Road, Lenexa, Kansas, 66215",,,,,,www.hostessbrands.com,,,$1.1B
1791,Elitegroup Computer Systems Co Ltd,Technology and Communications,$377.7M,"10,749",,Taiwan,"No. 1-13, Madoukou, Madou District, Taipei, 114",,,,,,www.ecs.com.tw,,,$1.1B
1792,Camden Property Trust,Construction,$12.3B,"1,700",,United States of America,"Suite 2400, 11 Greenway Plaza, Houston, Texas, 77046",,,,,,www.camdenliving.com,,,$1.1B
1793,African Rainbow Minerals Ltd,Metals and Mining,$4.0B,"12,707",,South Africa,"Arm House, 29 Impala Road, Chislehurston, Sandton, 2196",,,,,,www.arm.co.za,,,$1.1B
1794,Yulon Finance Corp,Financial Services,$2.8B,"1,159",,Taiwan,"15f, No.2, Section 2, Tun Hua South Road, Da'An District, Taipei, 106",,,,,,www.tac.com.tw,,,$1.1B
1795,Nova Ljubljanska banka dd,Financial Services,$1.5B,"8,394",,Slovenia,"Trg Republike 2, Ljubljana, 1520",,,,,,www.nlb.si,,,$1.1B
1796,Viscofan SA,Paper and Packaging,$3.0B,"5,182",,Spain,"Poligono Industrial Berroa, C/Berroa 15-4 Planta, Tajonar, Aranguren, Navarra, 31192",,,,,,www.viscofan.com,,,$1.1B
1797,Nampak Ltd,Paper and Packaging,$52.7M,"4,314",,South Africa,"Nampak Centre, 114 Dennis Road, Atholl Gardens, Atholl Gardens, Sandton, 2191",,,,,,www.nampak.com,,,$1.1B
1798,Novavax Inc,Pharmaceuticals and Healthcare,$1.1B,"1,541",,United States of America,"21 Firstfield Road, Gaithersburg, Maryland, 20878",,,,,,www.novavax.com,,,$1.1B
1799,Safilo Group SpA,Consumer Packaged Goods,$707.6M,"4,404",,Italy,"Settima Strada, 15, Padova, 35129",,,,,,www.safilo.com,,,$1.1B
1800,The Star Entertainment Group Ltd,Leisure and Arts,$1.3B,"8,000",,Australia,"Level 3, 159 William Street, Brisbane, Queensland, 4000",,,,,,www.starentertainmentgroup.com.au,,,$1.1B
1801,Chugin Financial Group Inc,Financial Services,$1.4B,"3,103",,Japan,"1-15-20, Marunouchi, Kita-Ku, Okayama-Shi, 700-8628",,,,,,www.chugin-fg.co.jp,,,$1.1B
1802,"Chongqing Machinery & Electric Co., Ltd.",Industrial Goods and Machinery,$325.3M,"7,859",,China,"No. 60, Middle Section Of Huangshan Avenue, Chongqing, 401123",,,,,,www.chinacqme.com,,,$1.1B
1803,Eastman Kodak Co,Technology and Communications,$276.1M,"4,200",,United States of America,"343 State St, Rochester, New York, 14650-0910",,,,,,www.kodak.com,,,$1.2B
1804,Coventry Building Society,Financial Services,,"2,083",,United Kingdom,"P.O. Box 9, Economic House, High St., Coventry, England, CV15QN",,,,,,www.coventrybuildingsociety.co.uk,,,$1.2B
1805,Saigon Beer Alcohol Beverage Corp,Consumer Packaged Goods,$5.1B,"8,234",,Vietnam,"187 Nguyen Chi Thanh, Phuong 12, Quan 5, Ho Chi Minh, Ho Chi Minh City",,,,,,www.sabeco.com.vn,,,$1.2B
1806,Iamgold Corp,Metals and Mining,$1.3B,"5,357",,Canada,"401 Bay Street, Suite 3200, P.O. Box 153, Toronto, Ontario, M5H2Y4",,,,,,www.iamgold.com,,,$1.2B
1807,Singamas Container Holdings Limited,Industrial Goods and Machinery,$219.4M,"3,791",,Hong Kong,"19th Floor, Rykadan Capital Tower, Hong Kong",,,,,,www.singamas.com,,,$1.2B
1808,Brixmor Property Group Inc,Construction,$6.7B,501,,United States of America,"450 Lexington Avenue, New York, 10017",,,,,,www.brixmor.com,,,$1.2B
1809,LL Flooring Holdings Inc,Retailing,$173.2M,"2,400",,United States of America,"4901 Bakers Mill Lane, Richmond, Virginia, 23230",,,,,,investors.llflooring.com/news/default.aspx,,,$1.2B
1810,Torrent Pharmaceuticals Ltd,Pharmaceuticals and Healthcare,$6.7B,"12,910",,India,"Torrent House, Off. Ashram Road, Ahmedabad, 380009",,,,,,www.torrentpharma.com,,,$1.2B
1811,Tsumura & Co,Pharmaceuticals and Healthcare,$1.6B,"3,921",,Japan,"2-17-11, Akasaka, Minato-Ku, Tokyo, 107-8521",,,,,,www.tsumura.co.jp,,,$1.2B
1812,Enagas SA,Energy and Utilities,$4.7B,"1,386",,Spain,"Paseo De Los Olmos, 19, Madrid, 28005",,,,,,www.enagas.es,,,$1.2B
1813,Seven West Media Ltd,Media,$505.8M,"4,528",,Australia,"Newspaper Hse, Osborne Park, 50 Hasler Rd, Perth, 6017",,,,,,www.sevenwestmedia.com.au,,,$1.2B
